region,ålder,kön,tabellinnehåll,år,DATA
Stockholms län,15-19 år,män,Antal,2008,64525.0
Stockholms län,15-19 år,män,Antal,2009,65405.0
Stockholms län,15-19 år,män,Antal,2010,64692.5
Stockholms län,15-19 år,män,Antal,2011,63171.0
Stockholms län,15-19 år,män,Antal,2012,61239.5
Stockholms län,15-19 år,män,Antal,2013,59780.5
Stockholms län,15-19 år,män,Antal,2014,58213.5
Stockholms län,15-19 år,män,Antal,2015,58253.0
Stockholms län,15-19 år,män,Antal,2016,59565.0
Stockholms län,15-19 år,män,Antal,2017,62152.0
Stockholms län,15-19 år,män,Antal,2018,65146.0
Stockholms län,15-19 år,män,Antal,2019,66926.5
Stockholms län,15-19 år,män,Antal,2020,68255.5
Stockholms län,15-19 år,män,Antal,2021,70502.0
Stockholms län,15-19 år,män,Antal,2022,72536.0
Stockholms län,15-19 år,män,Antal,2023,74280.5
Stockholms län,15-19 år,män,Antal,2024,75655.5
Stockholms län,15-19 år,kvinnor,Antal,2008,61334.5
Stockholms län,15-19 år,kvinnor,Antal,2009,61981.5
Stockholms län,15-19 år,kvinnor,Antal,2010,60933.0
Stockholms län,15-19 år,kvinnor,Antal,2011,59824.0
Stockholms län,15-19 år,kvinnor,Antal,2012,57975.0
Stockholms län,15-19 år,kvinnor,Antal,2013,56458.0
Stockholms län,15-19 år,kvinnor,Antal,2014,55155.5
Stockholms län,15-19 år,kvinnor,Antal,2015,55120.5
Stockholms län,15-19 år,kvinnor,Antal,2016,55806.0
Stockholms län,15-19 år,kvinnor,Antal,2017,57734.0
Stockholms län,15-19 år,kvinnor,Antal,2018,59906.5
Stockholms län,15-19 år,kvinnor,Antal,2019,62522.0
Stockholms län,15-19 år,kvinnor,Antal,2020,64640.5
Stockholms län,15-19 år,kvinnor,Antal,2021,66775.5
Stockholms län,15-19 år,kvinnor,Antal,2022,68415.5
Stockholms län,15-19 år,kvinnor,Antal,2023,70030.5
Stockholms län,15-19 år,kvinnor,Antal,2024,71356.0
Stockholms län,20-24 år,män,Antal,2008,57841.0
Stockholms län,20-24 år,män,Antal,2009,60661.0
Stockholms län,20-24 år,män,Antal,2010,63934.5
Stockholms län,20-24 år,män,Antal,2011,66352.0
Stockholms län,20-24 år,män,Antal,2012,68559.5
Stockholms län,20-24 år,män,Antal,2013,69573.0
Stockholms län,20-24 år,män,Antal,2014,70243.5
Stockholms län,20-24 år,män,Antal,2015,69486.0
Stockholms län,20-24 år,män,Antal,2016,68150.0
Stockholms län,20-24 år,män,Antal,2017,66611.0
Stockholms län,20-24 år,män,Antal,2018,65353.0
Stockholms län,20-24 år,män,Antal,2019,64939.5
Stockholms län,20-24 år,män,Antal,2020,64565.5
Stockholms län,20-24 år,män,Antal,2021,64571.0
Stockholms län,20-24 år,män,Antal,2022,65612.5
Stockholms län,20-24 år,män,Antal,2023,66825.0
Stockholms län,20-24 år,män,Antal,2024,67274.5
Stockholms län,20-24 år,kvinnor,Antal,2008,57585.5
Stockholms län,20-24 år,kvinnor,Antal,2009,60323.5
Stockholms län,20-24 år,kvinnor,Antal,2010,63632.5
Stockholms län,20-24 år,kvinnor,Antal,2011,65868.0
Stockholms län,20-24 år,kvinnor,Antal,2012,67931.5
Stockholms län,20-24 år,kvinnor,Antal,2013,68808.5
Stockholms län,20-24 år,kvinnor,Antal,2014,68997.5
Stockholms län,20-24 år,kvinnor,Antal,2015,67512.0
Stockholms län,20-24 år,kvinnor,Antal,2016,66065.5
Stockholms län,20-24 år,kvinnor,Antal,2017,64015.0
Stockholms län,20-24 år,kvinnor,Antal,2018,62342.0
Stockholms län,20-24 år,kvinnor,Antal,2019,60461.5
Stockholms län,20-24 år,kvinnor,Antal,2020,59335.0
Stockholms län,20-24 år,kvinnor,Antal,2021,58779.5
Stockholms län,20-24 år,kvinnor,Antal,2022,59611.0
Stockholms län,20-24 år,kvinnor,Antal,2023,60874.0
Stockholms län,20-24 år,kvinnor,Antal,2024,62734.0
Stockholms län,25-29 år,män,Antal,2008,67656.0
Stockholms län,25-29 år,män,Antal,2009,69291.0
Stockholms län,25-29 år,män,Antal,2010,70416.5
Stockholms län,25-29 år,män,Antal,2011,72736.0
Stockholms län,25-29 år,män,Antal,2012,74828.0
Stockholms län,25-29 år,män,Antal,2013,77544.5
Stockholms län,25-29 år,män,Antal,2014,80148.0
Stockholms län,25-29 år,män,Antal,2015,82964.0
Stockholms län,25-29 år,män,Antal,2016,85600.5
Stockholms län,25-29 år,män,Antal,2017,88504.0
Stockholms län,25-29 år,män,Antal,2018,89988.0
Stockholms län,25-29 år,män,Antal,2019,90404.5
Stockholms län,25-29 år,män,Antal,2020,88745.0
Stockholms län,25-29 år,män,Antal,2021,85956.5
Stockholms län,25-29 år,män,Antal,2022,83771.0
Stockholms län,25-29 år,män,Antal,2023,81552.5
Stockholms län,25-29 år,män,Antal,2024,79957.0
Stockholms län,25-29 år,kvinnor,Antal,2008,68614.5
Stockholms län,25-29 år,kvinnor,Antal,2009,70075.5
Stockholms län,25-29 år,kvinnor,Antal,2010,71102.0
Stockholms län,25-29 år,kvinnor,Antal,2011,73233.5
Stockholms län,25-29 år,kvinnor,Antal,2012,75691.0
Stockholms län,25-29 år,kvinnor,Antal,2013,78671.0
Stockholms län,25-29 år,kvinnor,Antal,2014,81336.0
