Diagnoser, Sluten och/eller specialiserad öppen vård, Antal patienter, F00-F99 Psykiska sjukdomar och syndrom samt beteendestörningar, Ålder: 15-74
Hemortslän;Kön;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Riket;Män;104047;107032;112364;120489;127698;135401;143232;148368;151981;155584;158424;161380;160468;166071;169597;177151;179762
Riket;Kvinnor;119842;121190;126026;135186;142097;151978;160676;166628;172494;179640;182768;186106;185748;195923;204128;213904;218185
Riket;Båda könen;223889;228222;238390;255675;269795;287379;303908;314996;324475;335224;341192;347486;346216;361994;373725;391055;397947
Stockholms län;Män;25311;25515;29044;32436;36977;39962;42591;43520;44437;45633;46694;47470;47227;48788;49578;52041;53123
Stockholms län;Kvinnor;29412;28391;33119;37558;42773;47320;50768;51959;54242;56629;57376;57385;56851;59767;61598;63979;65138
Stockholms län;Båda könen;54723;53906;62163;69994;79750;87282;93359;95479;98679;102262;104070;104855;104078;108555;111176;116020;118261
Uppsala län;Män;3883;4176;4479;4695;4689;5141;5397;5371;5475;5503;5426;5564;5475;5591;5779;6290;6417
Uppsala län;Kvinnor;4719;5013;5368;5549;5505;6030;6310;6095;6245;6386;6197;6497;6380;6857;7443;8121;8130
Uppsala län;Båda könen;8602;9189;9847;10244;10194;11171;11707;11466;11720;11889;11623;12061;11855;12448;13222;14411;14547
Södermanlands län;Män;3371;3346;3512;3838;3949;4075;4326;4273;4391;4487;4644;4613;4299;4668;4791;4971;4913
Södermanlands län;Kvinnor;3994;3872;3959;4240;4230;4553;4848;4768;4909;4985;5283;5250;4855;5333;5780;6209;6225
Södermanlands län;Båda könen;7365;7218;7471;8078;8179;8628;9174;9041;9300;9472;9927;9863;9154;10001;10571;11180;11138
Östergötlands län;Män;4161;4130;4454;4779;4980;5162;5392;6226;6458;7004;7473;8113;7855;8089;8159;8719;8633
Östergötlands län;Kvinnor;4444;4488;4732;5078;5090;5434;5589;6744;6928;7756;8200;8997;8729;9365;9833;10362;10294
Östergötlands län;Båda könen;8605;8618;9186;9857;10070;10596;10981;12970;13386;14760;15673;17110;16584;17454;17992;19081;18927
Jönköpings län;Män;3418;3589;3600;3734;3547;4535;4749;4749;4849;5111;5354;5420;5559;5887;6244;6596;6803
Jönköpings län;Kvinnor;3739;3913;3850;4064;3666;4760;5008;5060;5302;5684;5971;6191;6386;6913;7163;7882;8126
Jönköpings län;Båda könen;7157;7502;7450;7798;7213;9295;9757;9809;10151;10795;11325;11611;11945;12800;13407;14478;14929
Kronobergs län;Män;1723;1744;1878;1976;2143;2161;2269;2301;2438;2406;2472;2488;2405;2571;2613;2790;2684
Kronobergs län;Kvinnor;2263;2174;2116;2231;2295;2282;2422;2552;2570;2706;2775;2887;2789;2977;3155;3280;3167
Kronobergs län;Båda könen;3986;3918;3994;4207;4438;4443;4691;4853;5008;5112;5247;5375;5194;5548;5768;6070;5851
Kalmar län;Män;2796;3055;3191;3385;3522;3724;3769;3981;4134;4176;4286;4348;4316;4544;4690;4936;4816
Kalmar län;Kvinnor;3152;3493;3629;3797;3753;3903;3915;4167;4355;4407;4599;4733;4754;5040;5265;5452;5550
Kalmar län;Båda könen;5948;6548;6820;7182;7275;7627;7684;8148;8489;8583;8885;9081;9070;9584;9955;10388;10366
Gotlands län;Män;853;933;937;1012;998;1041;991;1038;1018;1121;1167;1202;1224;1201;1183;1255;1294
Gotlands län;Kvinnor;917;911;983;1057;1097;1146;1071;1202;1179;1334;1344;1426;1429;1409;1410;1489;1538
Gotlands län;Båda könen;1770;1844;1920;2069;2095;2187;2062;2240;2197;2455;2511;2628;2653;2610;2593;2744;2832
Blekinge län;Män;1835;1989;842;2276;2121;2227;2240;2378;2452;2557;2608;2768;2725;2710;2841;3035;3102
